2019-04-30 14:43:21,759 [INFO ] com.alibaba.druid.pool.DruidDataSource  - {dataSource-1} inited
2019-04-30 14:43:23,241 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20000} enter cache
2019-04-30 14:43:52,007 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20001} enter cache
2019-04-30 14:43:52,013 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20002} enter cache
2019-04-30 14:43:52,017 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20003} enter cache
2019-04-30 14:43:52,021 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20004} enter cache
2019-04-30 14:43:55,193 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20005} enter cache
2019-04-30 14:43:55,208 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20006} enter cache
2019-04-30 14:43:55,846 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20007} enter cache
2019-04-30 14:44:01,137 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20008} enter cache
2019-04-30 14:44:01,141 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20009} enter cache
2019-04-30 14:44:15,917 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20010} enter cache
2019-04-30 14:44:15,923 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20011} enter cache
2019-04-30 14:44:15,934 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20012} enter cache
2019-04-30 14:44:16,655 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20013} enter cache
2019-04-30 14:44:16,658 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20014} enter cache
2019-04-30 14:44:16,663 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20015} enter cache
2019-04-30 14:44:16,667 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20016} enter cache
2019-04-30 14:44:16,673 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20017} enter cache
2019-04-30 14:44:16,678 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20018} enter cache
2019-04-30 14:44:16,683 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20019} enter cache
2019-04-30 14:44:16,686 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20000} exit cache
2019-04-30 14:44:16,687 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20020} enter cache
2019-04-30 14:44:16,689 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20001} exit cache
2019-04-30 14:44:16,690 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20021} enter cache
2019-04-30 14:44:16,692 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20006} exit cache
2019-04-30 14:44:16,693 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20022} enter cache
2019-04-30 14:44:16,696 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20007} exit cache
2019-04-30 14:44:16,696 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20023} enter cache
2019-04-30 14:45:07,479 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20009} exit cache
2019-04-30 14:45:07,479 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20024} enter cache
2019-04-30 14:45:15,985 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20008} exit cache
2019-04-30 14:45:15,985 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20025} enter cache
2019-04-30 14:45:16,252 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20010} exit cache
